1827713	86.0
1525822	77.0
1524680	68.0
1371151	59.0
1257860	87.8
1242242	50.0
1239051	82.4
1219335	84.2
1149811	89.6
1113073	80.6
1086669	64.4
1085559	78.8
1063586	73.4
1045311	75.2
1036890	71.6
1009960	62.6
1008016	60.8
998329	66.2
998064	69.8
968158	41.0
941088	57.2
930408	55.4
896429	53.6
863856	91.4
851381	51.8
840533	32.0
836451	46.4
814050	48.2
754074	44.6
727001	42.8
695253	81.0
688078	72.0
670463	82.0
663384	39.2
655860	88.0
653174	79.0
652735	37.4
651739	35.6
649923	90.0
646575	70.0
638377	63.0
620485	84.0
613104	95.0
605000	64.0
602153	84.9
600759	33.8
596536	61.0
595504	93.2
594131	75.0
588254	73.0
555508	54.0
546133	66.0
515245	87.1
508092	82.9
503065	57.0
496410	55.0
486296	52.0
480806	75.9
473500	30.2
465045	91.0
458404	45.0
451059	66.9
443284	78.1
442838	80.1
440971	73.9
437514	64.9
434341	36.0
430381	43.0
430185	46.0
424721	28.4
410704	57.9
408943	48.0
402582	89.1
393974	69.1
392957	23.0
388409	34.0
384218	60.1
367344	39.0
366423	71.1
360392	37.0
357365	62.1
356983	55.9
335019	26.6
317713	48.9
315444	24.8
315366	91.9
308180	93.0
298709	96.8
291422	51.1
291249	46.9
289887	53.1
275972	14.0
275689	86.4
266828	39.9
261192	21.2
254050	85.3
250321	30.0
245448	93.9
244716	28.0
238645	83.3
236527	86.9
236316	42.1
234630	37.9
233254	90.3
228303	44.1
223318	98.6
216802	89.2
215844	19.4
215048	81.3
213367	27.0
213064	88.9
203977	77.4
203502	25.0
201167	88.3
199536	17.6
199319	77.9
198068	79.9
195843	68.4
195597	72.3
195465	88.2
193501	74.3
192741	76.3
191589	88.7
190612	63.3
190216	85.1
190202	87.3
190085	80.2
189965	83.8
189777	35.1
189276	65.3
189229	86.7
187320	68.9
186732	59.9
186634	70.9
186592	67.3
184638	59.4
184539	84.4
184276	88.5
183728	61.9
181454	33.1
177494	84.6
174244	92.3
173133	65.8
172533	74.8
172098	58.3
171111	5.0
170005	97.0
169817	83.1
169447	100.4
168657	87.4
168054	90.5
166113	82.8
165770	79.3
165417	15.8
164664	70.3
164075	54.3
163838	9999.9
163461	56.3
163354	85.6
163207	71.2
162964	81.5
160572	78.3
160208	50.4
159887	75.4
159292	83.5
157143	79.2
156713	21.0
156690	81.9
155630	66.4
155185	79.7
154823	63.9
154776	65.1
154397	72.9
154213	61.3
154179	64.8
154120	79.5
153585	77.7
153427	56.8
152187	52.9
151286	76.1
151004	68.7
150984	61.2
150909	75.6
150822	96.1
150606	66.6
150224	61.5
150189	60.3
150104	74.1
149899	50.9
149877	81.7
149500	10.4
149274	70.2
149151	12.2
148838	69.3
148618	73.8
147847	70.5
147494	67.1
147194	63.5
145829	63.7
145599	65.5
145540	59.7
144976	70.7
144974	57.4
144452	90.7
143896	72.5
143351	72.7
143270	18.0
143089	61.7
142961	74.5
141194	57.6
140966	62.4
140276	49.3
139724	30.9
138591	78.4
137982	56.1
137549	58.1
137398	54.9
136919	52.3
136158	55.8
134916	67.6
134545	45.3
134163	47.3
133984	99.0
133980	76.6
133631	62.2
133450	56.5
133300	19.0
133159	-4.0
132151	69.4
131900	91.8
131483	60.4
128584	54.5
128262	102.2
128215	54.7
128141	47.8
128048	58.6
126802	90.9
126237	86.5
126016	52.2
125990	52.5
125587	104.0
124581	84.7
123519	48.4
123197	50.7
122573	41.4
122348	86.2
121706	43.9
121582	92.1
121170	52.7
121094	6.8
121036	85.5
120973	63.1
120806	8.6
120804	66.7
120320	41.9
119706	53.4
119601	51.3
119212	68.5
118229	59.5
118026	64.6
117818	77.5
117571	68.2
117420	62.8
117021	72.1
116569	81.1
115977	83.7
115815	75.7
115645	59.2
115427	48.6
115121	71.8
115016	77.2
114597	65.7
114324	91.2
114179	67.8
114068	53.2
113680	49.1
113583	16.0
113107	92.8
112986	40.3
112868	67.5
112711	46.8
112607	74.7
112195	82.6
112192	73.6
112037	57.7
111680	47.1
111556	58.8
110965	76.5
110865	38.3
110752	45.9
110357	80.8
110073	85.8
109899	42.4
109483	51.4
108950	43.3
108744	36.3
108597	58.5
108326	28.9
108303	53.8
108294	55.6
107726	56.7
107705	49.6
107607	47.5
107206	3.2
107187	54.1
107152	94.3
106891	71.4
106853	92.5
106035	10.0
105954	90.1
105179	80.4
104320	76.8
